date,75
notes,67
site,57
chl_ug/l,46
dep_m,43
ph,41
time_hr_dst,40
temp_c,39
cond_us,38
secchi_m,38
ibvsvr4a_v,37
do_sat,37
do_mg/l,37
chl_v,37
par_uem2s,37
refpar_uem2s,37
hydrolab,37
sampledate,32
,25
depth,21
wtemp,19
comments,17
do_umoles/l,17
sortchem_#,16
buoyid,16
sample_time,16
sitenr,15
time,14
depth (m),14
alk,13
location,12
date_time,11
lakename,11
id,11
plot,10
observer,10
pheo_ug/l,9
nh4opa_um,9
po4_um,9
no3_um,9
tdn_um,9
tn_um,9
tp_um,9
tdp_um,9
pp-ug/l,9
pp_um,9
pn-ug/l,9
pn_um,9
pc-ug/l,9
pc_um,9
bact_cells/ml,9
uncorchl_ug/l,9
cl_um,9
so4_um,9
nh4 indol_um,9
plotabbrev,9
station,7
lat_decimal,7
long_decimal,7
sample_date,7
year4,7
dataset_code,7
lakeid,7
value,7
doc,7
latitude,6
longitude,6
file name,6
month,6
location_name,6
chemsampleid,6
vegsampleid,6
site_name,5
location code,5
temperature,5
srp,5
do,5
tp,5
spname,5
length,5
weight,5
pressure,4
internal_temp,4
rounded depth (m),4
hydrolab depth,4
no3,4
salt_id,4
filename,4
common.name,4
lagoslakeid,4
maxdepth,4
lake,4
cl,4
so4,4
species,4
sample,4
x,4
y,4
wdnr_gearid,4
daynum,3
wbic,3
depth.m,3
(active) corrected chl a (ug/l),3
total chl a (ug/l),3
pheo (ug/l),3
pprod (mgc/m3/d),3
elevation,3
core_site,3
sample_area,3
core_type,3
lat,3
long,3
continent,3
country,3
state,3
variable,3
na,3
chla,3
sta,3
site_nid,3
o2sat,3
sonde_id,3
barcode,3
plotnr,3
wwi,3
speccode,3
wdnr_spp_code,3
masterid,2
zebra,2
rusty,2
smelt,2
fishing,2
boating,2
sail,2
swim,2
gender,2
age,2
distance,2
lake_area,2
inc,2
usgs_site_id,2
secchi,2
co2_value_highrange,2
co2_value_lowrange,2
conductivity,2
dissolved oxygen,2
x525,2
x570,2
x610,2
x370,2
x590,2
x470,2
transmission,2
algal.1,2
algal.2,2
algal.3,2
algal.4,2
algal.8,2
chi,2
par,2
dist_leftbank,2
avg_coredepth,2
dry_bulkd,2
perc_silt,2
perc_clay,2
perc_sand,2
nh4_n,2
area (m2),2
volume below depth (m3),2
data set title: shiyu wang. 2016. anchor sampling of inorganic carbon (dic) and dissolved oxygen (do) at the flux tower tidal creek in the duplin river. georgia coastal ecosystems lter data catalog (data set chm-gcet-1605a; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=chm-gcet-1605a),2
collectors,2
type of organism,2
recordid,2
site_id,2
wavelength,2
cuvette,2
color_flag,2
sample.date,2
sample.depth,2
chloride,2
decimal.date,2
std.chloride,2
integrated.depth,2
ecoregion,2
area.km2,2
laketype,2
yearmin,2
yearmax,2
meancl.mgl,2
yearstotal,2
outliersremoved,2
shapefilemethod,2
coastdist.km,2
wetdrydep,2
precip.mm,2
tempjan,2
tempfeb,2
tempmar,2
tempapr,2
tempmay,2
tempjun,2
tempjul,2
tempaug,2
tempsep,2
tempoct,2
tempnov,2
tempdec,2
roaddensity100,2
roaddensity200,2
roaddensity300,2
roaddensity400,2
roaddensity500,2
roaddensity1000,2
roaddensity1500,2
landimperviousbin100,2
landimperviousbin200,2
landimperviousbin300,2
landimperviousbin400,2
landimperviousbin500,2
landimperviousbin1000,2
landimperviousbin1500,2
landimperviousper100,2
landimperviousper200,2
landimperviousper300,2
landimperviousper400,2
landimperviousper500,2
landimperviousper1000,2
landimperviousper1500,2
ice_sta,2
hu4_zoneid,2
nhd_lat,2
nhd_long,2
iws_areaha,2
phylum,2
location name,2
